Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
eʔ	e ʔ	e ʔ	n c	U+0065 U+0020 U+0294	24	Achang (Longchuan)	teʔ⁵⁵, ʑeʔ³¹, meʔ³¹, meʔ³¹, tsheʔ³¹
eŋ	e ŋ	e ŋ	n c	U+0065 U+0020 U+014b	23	Achang (Longchuan)	ŋ̇eŋ³⁵, tseŋ³⁵, tseŋ³⁵, tseŋ³⁵, tseŋ³⁵
ak	a k	a k	n c	U+0061 U+0020 U+006b	21	Achang (Longchuan)	tʂak⁵⁵, tʂak⁵⁵, tak⁵⁵, kak³⁵, lak³¹
et	e t	e t	n c	U+0065 U+0020 U+0074	21	Achang (Longchuan)	tset⁵⁵, tset⁵⁵, tɕhet⁵⁵, tɕhet⁵⁵, tɕet³⁵
ut	u t	u t	n c	U+0075 U+0020 U+0074	20	Achang (Longchuan)	mut⁵⁵, sut⁵⁵, put⁵⁵, kut⁵⁵, phʐut⁵⁵
at	a t	a t	n c	U+0061 U+0020 U+0074	18	Achang (Longchuan)	pat⁵⁵, pat³⁵, mat³⁵, mat³⁵, phʐat⁵⁵
iŋ	i ŋ	i ŋ	n c	U+0069 U+0020 U+014b	18	Achang (Longchuan)	liŋ³⁵, iŋ³¹, liŋ⁵⁵, tɕhiŋ⁵⁵, liŋ⁵⁵
oŋ	o ŋ	o ŋ	n c	U+006f U+0020 U+014b	18	Achang (Longchuan)	ʐoŋ³¹, kʐoŋ⁵⁵, xʐoŋ³¹, toŋ⁵⁵, xoŋ⁵⁵
it	i t	i t	n c	U+0069 U+0020 U+0074	18	Achang (Longchuan)	ʐit⁵⁵, ʐit⁵⁵, it⁵⁵, ȵit⁵⁵, ȵit⁵⁵
ot	o t	o t	n c	U+006f U+0020 U+0074	15	Achang (Longchuan)	ȵ̥ot⁵³, ȵ̥ot⁵⁵, ȵ̥ot⁵⁵, tɕhot⁵³, xot⁵⁵
