Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
ji	j i	j i	m n	U+006a U+0020 U+0069	103	Atsi	mji²¹
jo	j o	j o	m n	U+006a U+0020 U+006f	34	Atsi	jo²¹
je	j e	j e	m n	U+006a U+0020 U+0065	22	Atsi	ŋje⁵⁵
ji̱	j i̱	j ḭ	m n	U+006a U+0020 U+0069 U+0331	22	Atsi	mji̱²¹
ju	j u	j u	m n	U+006a U+0020 U+0075	20	Atsi	ju⁵¹
jui	j u i	j u i	m n N	U+006a U+0075 U+0020 U+0069	10	Atsi	khjui²¹
jo̱	j o̱	j o̰	m n	U+006a U+0020 U+006f U+0331	10	Atsi	kjo̱²¹
ja	j a	j a	m n	U+006a U+0020 U+0061	8	Atsi	ja²¹
jau	j a u	j a u	m n N	U+006a U+0020 U+0061 U+0075	4	Atsi	khjau⁵⁵
ju̱i	j u̱ i	j ṵ i	m n N	U+006a U+0020 U+0075 U+0331 U+0069	4	Atsi	ŋju̱i²¹
jĭ	j ĭ	j ĭ	m n	U+006a U+0020 U+012d	3	Atsi	jĭ⁵⁵
jŏ	j ŏ	j ŏ	m n	U+006a U+0020 U+014f	3	Atsi	pjŏ²¹
je̱	j e̱	j ḛ	m n	U+006a U+0020 U+0065 U+0331	3	Atsi	ŋje̱⁵⁵
ja̱	j a̱	j a̰	m n	U+006a U+0020 U+0061 U+0331	2	Atsi	ŋja̱⁵⁵
ja̱u	j a̱ u	j a̰ u	m n N	U+006a U+0020 U+0061 U+0331 U+0075	1	Atsi	ŋja̱u⁵⁵
io	i o	i o	m n	U+0069 U+0020 U+006f	1	Atsi	ŋio⁵⁵
ju̱	j u̱	j ṵ	m n	U+006a U+0020 U+0075 U+0331	1	Atsi	pju̱⁵¹
jĭ̱	j ĭ̱	j ḭ̆	m n	U+006a U+0020 U+012d U+0331	1	Atsi	njĭ̱²¹
ngu²¹	ng u ²¹	ŋ u ²¹	i n t	U+0067 U+0020 U+0075	1	Atsi	ngu²¹
khjuŋ	kh j u ŋ	kʰ j u ŋ	i m n c	U+006a U+0020 U+0075 U+014b	1	Atsi	khjuŋ
kɣŋ²¹	k ɣ ŋ ²¹	k ɣ ŋ ²¹	i n c t	U+0263 U+014b	1	Atsi	kɣŋ²¹
m	m	m	i	U+006d	263	Atsi	mji²¹
k	k	k	i	U+006b	243	Atsi	ko̱²¹
p	p	p	i	U+0070	222	Atsi	pan²¹
l	l	l	i	U+006c	209	Atsi	lŏ̱⁵⁵
t	t	t	i	U+0074	187	Atsi	tat²¹
kh	kh	kʰ	i	U+006b U+0068	171	Atsi	khjuŋ²¹
n	n	n	i	U+006e	161	Atsi	no⁵¹
ts	ts	ts	i	U+0074 U+0073	147	Atsi	tsui⁵¹
tʃ	tʃ	tʃ	i	U+0074 U+0283	137	Atsi	tʃi̱⁵⁵
v	v	v	i	U+0076	132	Atsi	va²¹
ŋ	ŋ	ŋ	i	U+014b	121	Atsi	ŋo⁵¹
s	s	s	i	U+0073	117	Atsi	sik⁵⁵
